Item,Area,Year,AreaHarvested,Production,Yield,Price,ExportQuantity,ExportValue,ImportQuantity,ImportValue,RuralPopulation,UrbanPopulation,TotalPopulation,GrossNationalIncome
Rice,BruneiDarussalam,2010,1600.00,1600.00,10000.00,,250.00,59.00,45246.00,43276.00,97.32,291.34,396.05,34356.16
Rice,BruneiDarussalam,2011,1500.00,2200.00,14667.00,,4900.00,1989.00,33679.00,39568.00,97.28,296.73,401.51,44898.02
Rice,BruneiDarussalam,2012,1600.00,2200.00,13750.00,,4900.00,1989.00,42762.00,60240.00,97.31,302.43,406.63,45720.04
Rice,BruneiDarussalam,2013,1300.00,1900.00,14615.00,,,,24013.00,22091.00,97.39,308.33,411.70,43463.14
Rice,BruneiDarussalam,2014,1300.00,2100.00,16154.00,,16.00,7.00,44583.00,53698.00,97.44,314.26,416.66,40999.22
Rice,BruneiDarussalam,2015,1300.00,3100.00,23846.00,909.00,1.00,3.00,27683.00,30695.00,97.44,320.10,421.44,32225.17
Rice,BruneiDarussalam,2016,1400.00,2400.00,17143.00,905.00,10.00,31.00,36918.00,34193.00,97.38,325.82,425.99,28721.86
Rice,BruneiDarussalam,2017,1300.00,2300.00,17692.00,905.00,23.00,42.00,25012.00,21701.00,97.26,331.43,430.28,29861.27
Rice,BruneiDarussalam,2018,1200.00,2400.00,20000.00,927.00,2103.00,1784.00,37208.00,33665.00,97.11,336.97,434.27,31433.56
Rice,BruneiDarussalam,2019,1100.00,2300.00,20909.00,916.00,124.00,161.00,39723.00,43890.00,96.91,342.43,438.05,31572.63
Rice,BruneiDarussalam,2020,1300.00,3900.00,30000.00,906.00,20.00,24.00,34122.00,41414.00,96.68,347.84,441.73,27998.34
Rice,BruneiDarussalam,2021,1500.00,4100.00,27333.00,930.00,45.00,59.00,28410.00,27997.00,96.42,353.19,445.37,31650.24
Rice,BruneiDarussalam,2022,1500.00,4200.00,28000.00,907.00,,,28538.00,25699.00,,,,
Rice,BruneiDarussalam,2023,,,,,,,,,,,,
Rice,Cambodia,1961,2182000.00,2383000.00,10921.00,,239100.00,22370.00,,,5268.49,604.52,5664.65,
Rice,Cambodia,1962,2286000.00,2039000.00,8920.00,,131200.00,12980.00,,,5405.61,622.95,5788.85,
Rice,Cambodia,1963,2233000.00,2622000.00,11742.00,,377900.00,43520.00,,,5534.67,649.08,5913.68,
Rice,Cambodia,1964,2377000.00,2760000.00,11611.00,,491400.00,57520.00,,,5656.49,675.09,6040.85,
Rice,Cambodia,1965,2344000.00,2500000.00,10666.00,,472900.00,53050.00,,,5766.81,700.39,6170.73,
Rice,Cambodia,1966,2182000.00,2376000.00,10889.00,,165589.00,22464.00,,,5860.44,724.32,6299.23,
Rice,Cambodia,1967,2020000.00,2457000.00,12163.00,,200330.00,35746.00,,,5876.52,808.80,6426.45,
Rice,Cambodia,1968,2324000.00,3251000.00,13989.00,,193946.00,35671.00,,,5877.75,900.97,6553.11,
